BSE Code,Company Name
500002,ABB India Ltd
500003,Aegis Logistics Ltd
500008,Amara Raja Energy & Mobility Ltd
500009,Ambalal Sarabhai Enterprises Ltd
500012,Andhra Petrochemicals Ltd
500013,Ansal Properties & Infrastructure Ltd
500014,Utique Enterprises Ltd
500016,Aruna Hotels Ltd
500020,Bombay Dyeing & Manufacturing Company Ltd
500023,Asian Hotels (North) Ltd
500027,Atul Ltd
500028,ATV Projects India Ltd
500031,Bajaj Electricals Ltd
500032,Bajaj Hindusthan Sugar Ltd
500033,Force Motors Ltd
500034,Bajaj Finance Ltd
500038,Balrampur Chini Mills Ltd
500039,Banco Products (India) Ltd
500040,Aditya Birla Real Estate Ltd
500041,Bannari Amman Sugars Ltd
500042,BASF India Ltd
500043,Bata India Ltd
500048,BEML Ltd
500049,Bharat Electronics Ltd
500052,Bhansali Engineering Polymers Ltd
500058,Bihar Sponge Iron Ltd
500059,Bil Vyapar Ltd
500060,Birla Cable Ltd
500067,Blue Star Ltd
500068,Disa India Ltd
500069,Quest Capital Markets Ltd
500074,BPL Ltd
500078,Oriental Aromatics Ltd
500083,Century Extrusions Ltd
500084,CESC Ltd
500085,Chambal Fertilisers & Chemicals Ltd
500086,Exide Industries Ltd
500087,Cipla Ltd
500089,DIC India Ltd
500092,CRISIL Ltd
500093,CG Power and Industrial Solutions Ltd
500096,Dabur India Ltd
500097,Dalmia Bharat Sugar and Industries Ltd
500101,Arvind Ltd
500103,Bharat Heavy Electricals Ltd
500104,Hindustan Petroleum Corporation Ltd
500106,IFCI Ltd
500108,Mahanagar Telephone Nigam Ltd
500109,Mangalore Refinery and Petrochemicals Ltd
500110,Chennai Petroleum Corporation Ltd
500112,State Bank of India
500113,Steel Authority of India Ltd
500114,Titan Company Ltd
500116,IDBI Bank Ltd
500117,DCW Ltd
500119,Dhampur Sugar Mills Ltd
500120,Diamines & Chemicals Ltd
500123,Elantas Beck India Ltd
500124,Dr Reddys Laboratories Ltd
500125,EID Parry India Ltd
500126,Procter & Gamble Health Ltd
500128,Electrosteel Castings Ltd
500133,Esab India Ltd
500135,EPL Ltd
500136,Ester Industries Ltd
500142,FGP Ltd
500143,PH Capital Ltd
500144,Finolex Cables Ltd
500147,John Cockerill India Ltd
500148,Uflex Ltd
500150,Foseco India Ltd
500151,Golden Tobacco Ltd
500153,Ganesh Benzoplast Ltd
500159,Metroglobal Ltd
500160,GTL Ltd
500163,Godfrey Phillips India Ltd
500164,Godrej Industries Ltd
500165,Kansai Nerolac Paints Ltd
500166,Goodricke Group Ltd
500168,Goodyear India Ltd
500170,GTN Industries Ltd
500171,GHCL Ltd
500173,GFL Ltd
500174,Gujarat Lease Financing Ltd
500178,Harig Crankshafts Ltd
500179,HCL Infosystems Ltd
500180,HDFC Bank Ltd
500182,Hero MotoCorp Ltd
500183,HFCL Ltd
500184,Himadri Speciality Chemical Ltd
500185,Hindustan Construction Company Ltd
500186,Hindustan Oil Exploration Company Ltd
500187,Agi Greenpac Ltd
500188,Hindustan Zinc Ltd
500189,NDL Ventures Ltd
500191,HMT Ltd
500192,Prag Bosimi Synthetics Ltd
500193,HLV Ltd
500199,IG Petrochemicals Ltd
500201,India Glycols Ltd
500202,India Lease Development Ltd
500206,Margo Finance Ltd
500207,Indo Rama Synthetics (India) Ltd
500209,Infosys Ltd
500210,Ingersoll-Rand (India) Ltd
500213,International Travel House Ltd
500214,Ion Exchange India Ltd
500215,Sundrop Brands Ltd
500219,Jain Irrigation Systems Ltd
500220,Jasch Industries Ltd
500227,Jindal Poly Films Ltd
500228,JSW Steel Ltd
500233,Kajaria Ceramics Ltd
500234,Kakatiya Cement Sugar & Industries Ltd
500235,Kalyani Steels Ltd
500238,Whirlpool of India Ltd
500239,KG Denim Ltd
500240,Kinetic Engineering Ltd
500241,Kirloskar Brothers Ltd
500243,Kirloskar Industries Ltd
500245,Kirloskar Ferrous Industries Ltd
500246,Envair Electrodyne Ltd
500247,Kotak Mahindra Bank Ltd
500248,Krishna Filament Industries Ltd
500249,KSB Ltd
500250,LG Balakrishnan & Bros Ltd
500251,Trent Ltd
500252,LMW Ltd
500253,LIC Housing Finance Ltd
500257,Lupin Ltd
500259,Lyka Labs Ltd
500260,The Ramco Cements Ltd
500262,Hybrid Financial Services Ltd
500264,Mafatlal Industries Ltd
500265,Maharashtra Seamless Ltd
500266,Maharashtra Scooters Ltd
500267,Majestic Auto Ltd
500268,Manali Petrochemicals Ltd
500270,Baroda Rayon Corporation Ltd
500271,Max Financial Services Ltd
500277,Mid India Industries Ltd
500279,Mirc Electronics Ltd
500280,Century Enka Ltd
500282,Modern Thread India Ltd
500284,Lords Chloro Alkali Ltd
500285,Spicejet Ltd
500288,Morepen Laboratories Ltd
500290,MRF Ltd
500292,HeidelbergCement India Ltd
500294,NCC Ltd
500295,Vedanta Ltd
500296,Nahar Spinning Mills Ltd
500298,Naperol Investments Ltd
500300,Grasim Industries Ltd
500302,Piramal Enterprises Ltd
500304,NIIT Ltd
500306,Jaykay Enterprises Ltd
500307,Nirlon Ltd
500312,Oil and Natural Gas Corporation Ltd
500313,Oil Country Tubular Ltd
500314,Oriental Hotels Ltd
500317,Oswal Agro Mills Ltd
500319,Indian Sucrose Ltd
500322,Panyam Cements & Mineral Industries Ltd
500325,Reliance Industries Ltd
500327,Pil Italica Lifestyle Ltd
500330,Raymond Ltd
500331,Pidilite Industries Ltd
500333,Pix Transmissions Ltd
500335,Birla Corporation Ltd
500336,Surya Roshni Ltd
500337,Prime Securities Ltd
500338,Prism Johnson Ltd
500339,Rain Industries Ltd
500342,Prudential Sugar Corporation Ltd
500343,AMJ Land Holdings Ltd
500346,Punjab Communications Ltd
500350,RSWM Ltd
500354,Rajshree Sugars & Chemicals Ltd
500355,Rallis India Ltd
500356,Shree Rama Newsprint Ltd
500357,Rama Paper Mills Ltd
500360,Rapicut Carbides Ltd
500365,Welspun Specialty Solutions Ltd
500366,Rolta India Ltd
500367,Rubfila International Ltd
500368,Patanjali Foods Ltd
500370,Salora International Ltd
500378,Jindal Saw Ltd
500380,JK Lakshmi Cement Ltd
500387,Shree Cement Ltd
500388,Shree Krishna Paper Mills & Industries Ltd
500389,Silverline Technologies Ltd
500390,Reliance Infrastructure Ltd
500400,Tata Power Company Ltd
500402,SPML Infra Ltd
500403,Sundram Fasteners Ltd
500404,Sunflag Iron & Steel Company Ltd
500405,Supreme Petrochem Ltd
500407,Swaraj Engines Ltd
500408,Tata Elxsi Ltd
500410,ACC Ltd
500411,Thermax Ltd
500412,Thirumalai Chemicals Ltd
500413,Thomas Cook (India) Ltd
500414,Timex Group India Ltd
500418,Tokyo Plast International Ltd
500420,Torrent Pharmaceuticals Ltd
500421,TPI India Ltd
500422,Transchem Ltd
500425,Ambuja Cements Ltd
500426,UTL Industries Ltd
500429,Uniphos Enterprises Ltd
500439,Vardhman Holdings Ltd
500440,Hindalco Industries Ltd
500444,West Coast Paper Mills Ltd
500449,Hindustan Organic Chemicals Ltd
500450,MPIL Corporation Ltd
500456,Pasupati Acrylon Ltd
500458,Kore Foods Ltd
500459,Procter & Gamble Hygiene and Health Care Ltd
500460,Mukand Ltd
500463,Black Box Ltd
500464,Ucal  Ltd
